Image Pair,MSE,SSIM,Time,Mean MSE,Mean SSIM,Mean Time,Mean NegJ
231,0.0013864605003215042,0.8603833962809173,0.012492179870605469,-,-,-,-
232,0.0006059065203240036,0.8877721953705872,0.01250457763671875,-,-,-,-
233,0.0006246532673550632,0.8697567817484778,0.012777090072631836,-,-,-,-
234,0.0006510949347056273,0.8627116879710117,0.012084722518920898,-,-,-,-
235,0.0005569141665451645,0.8686195729356192,0.01434946060180664,-,-,-,-
236,0.0004401584855203133,0.9013268821264542,0.011234045028686523,-,-,-,-
237,0.00036396664476026733,0.9242115389287893,0.008463859558105469,-,-,-,-
238,0.00035787473854726566,0.9272632991742051,0.00854182243347168,-,-,-,-
239,0.001372308487933434,0.8795029298768576,0.015237569808959961,-,-,-,-
240,0.0014842696262561566,0.8485882750686768,0.021876811981201172,-,-,-,-
241,0.0026587389705348507,0.8127701308066884,0.01153421401977539,-,-,-,-
242,0.0027770074097021734,0.8278312420783409,0.008129596710205078,-,-,-,-
243,0.0006750797468479317,0.8860407528452794,0.008354663848876953,-,-,-,-
244,0.0007184754788544981,0.8688909278800019,0.010897636413574219,-,-,-,-
245,0.0007974937368096112,0.8543654771115056,0.010831356048583984,-,-,-,-
246,0.0006795620615084021,0.8766186225982843,0.009163618087768555,-,-,-,-
247,0.0005070591544110631,0.9055103046517003,0.008097410202026367,-,-,-,-
248,0.0003793409548945437,0.9284644239941978,0.008081436157226562,-,-,-,-
249,0.0004366878362962081,0.9265166929963646,0.009434223175048828,-,-,-,-
250,0.0007922490608479945,0.8990985490065648,0.010914802551269531,-,-,-,-
251,0.0011574513091979783,0.8761879717537465,0.010869503021240234,-,-,-,-
252,0.0015474238112838925,0.8737229308896644,0.008946895599365234,-,-,-,-
253,0.0016254923112794663,0.8730155570231549,0.008180379867553711,-,-,-,-
254,0.0003657350933179609,0.9149946577291678,0.008072376251220703,-,-,-,-
255,0.0005813071512804854,0.897087043382222,0.008428335189819336,-,-,-,-
256,0.0003833841689158192,0.8958365204074541,0.010881185531616211,-,-,-,-
257,0.0004111651424807924,0.8987546207679767,0.010820865631103516,-,-,-,-
258,0.00029789008008283824,0.9222026480770095,0.01075291633605957,-,-,-,-
259,0.00020870023228218955,0.9398706097165374,0.008219242095947266,-,-,-,-
260,0.0002695189107637577,0.9310029188252846,0.00946044921875,-,-,-,-
261,0.00040615435055440336,0.920766548853895,0.016149044036865234,-,-,-,-
262,0.0008679466898419408,0.9089327104426953,0.010616779327392578,-,-,-,-
263,0.0010540135392658608,0.9114421597908046,0.018036365509033203,-,-,-,-
