Image Pair,Dice full,Dice no background,SSIM,MSE,Mean Dice full, Mean Dice no background,Mean SSIM,Mean MSE
6,0.776960243425806,0.6561017351526983,0.0006584977143705518,0.9588405234995986,-,-,-,-
7,0.7943532501682034,0.6610846812559468,0.000852821019180555,0.9609984622381716,-,-,-,-
8,0.8330210831397303,0.7219535249433673,0.000335851419694632,0.9758271096374307,-,-,-,-
9,0.7655655156728406,0.6519864293650152,0.0005819167129372411,0.9642490472150679,-,-,-,-
0,0.7637305519831793,0.6127894443589007,0.00046560453482548614,0.9693135936476224,-,-,-,-
1,0.6476296891362464,0.45907870318114885,0.000797043770853953,0.9599574207497783,-,-,-,-
2,0.45175172836309563,0.25604855078347,0.0005613363515770886,0.9690081177670287,-,-,-,-
3,0.4803048162336165,0.37709259664212647,0.0008464848810946205,0.9659169340669299,-,-,-,-
4,0.7261990530309334,0.5670699542404657,0.003291907021671562,0.8940701154586403,-,-,-,-
5,0.6891938750779103,0.5784039782145394,0.005558632688343552,0.8681567613329799,-,-,-,-
6,0.733291138751041,0.6431647338150462,0.0029648941286945724,0.8757470180499752,-,-,-,-
7,0.7377530188596637,0.6527463126376325,0.006894778071521105,0.8783421699086166,-,-,-,-
8,0.7244255429094053,0.6224481166010402,0.00577798204256587,0.8870146521815443,-,-,-,-
9,0.8020500044921086,0.7098052286627687,0.002778804361552497,0.914799373268299,-,-,-,-
0,0.8095833187403706,0.7197894648529354,0.0028566155410266543,0.8784425591439896,-,-,-,-
1,0.6969148952282692,0.5664924439884015,0.0050759096766210664,0.8844027634030533,-,-,-,-
2,0.763351411195836,0.614886074079545,0.003427615969837058,0.9133821566270154,-,-,-,-
3,0.7584865422780879,0.6369347929557354,0.0015346795590285313,0.933362439795701,-,-,-,-
4,0.7862044495233067,0.7050049837288774,0.004118431561708124,0.8628201760751308,-,-,-,-
5,0.5358101134142633,0.38924232314925444,0.004934501510258467,0.9065974550959364,-,-,-,-
6,0.5790475552048597,0.4374399990216401,0.004618786561615009,0.8835778527767636,-,-,-,-
7,0.24909704702615387,0.0,0.0017750086799579888,0.9205593140137105,-,-,-,-
8,0.24132462599290813,0.0,0.0033129476900320043,0.9004903196356021,-,-,-,-
9,0.6019828812415682,0.2596,0.004302969903429487,0.8902021769332985,-,-,-,-
0,0.8348546869045894,0.7397200884221414,0.0010874166786489984,0.9344162616892747,-,-,-,-
1,0.8552059568434879,0.7583379808025391,0.0010554731941338142,0.9437074541944717,-,-,-,-
2,0.8615227769890798,0.7825545371962739,0.001207890196790036,0.9423621191919692,-,-,-,-
3,0.8559460785969392,0.7662986522085484,0.0011827431976006969,0.9423797851418577,-,-,-,-
4,0.8554864028359924,0.7656966589449654,0.00043980625531356467,0.9612892817760862,-,-,-,-
5,0.8525873729662734,0.7530135109835825,0.0007078494559597095,0.9548145278691971,-,-,-,-
6,0.8507331243637043,0.7606031874701447,0.0005878197656336057,0.9561672442173053,-,-,-,-
7,0.8400938565902727,0.7267180860275213,0.0006512270495586286,0.9506716075916386,-,-,-,-
8,0.8318933684671831,0.7320478066746224,0.0011333584508809837,0.9384354538916854,-,-,-,-
9,0.8147087166725122,0.7020826910445961,0.0011250797907179481,0.9456912772413978,-,-,-,-
0,0.7914491810893929,0.6910559184847365,0.0004159695058650214,0.9607572101256278,-,-,-,-
1,0.8109972624310704,0.7088325690424927,0.00037817523784908045,0.9625961991427133,-,-,-,-
2,0.7933397951183494,0.700894814714228,0.0002834629842261921,0.9777396149569146,-,-,-,-
3,0.7873015395046469,0.6996078431372549,0.0002513688992473674,0.9778240664690209,-,-,-,-
4,0.6793326663118319,0.6201555785452809,0.00029949431220146274,0.972664091598278,-,-,-,-
5,0.5114659459584341,0.3844125878013974,0.0009369069374160253,0.9400717675765178,-,-,-,-
6,0.5660332085176156,0.2616822429906542,0.010082029850119566,0.823398484721196,-,-,-,-
7,0.8078296203271569,0.7490413962255222,0.007693170801063918,0.8490384449230011,-,-,-,-
8,0.7892939304111695,0.722427434897909,0.002480820628635978,0.9026820552045535,-,-,-,-
9,0.8176783593335588,0.7373648880705981,0.0038594417428702236,0.9030566844715499,-,-,-,-
0,0.7918542041751881,0.6852293479541514,0.0008760822385284017,0.921668570150395,-,-,-,-
1,0.7700625123817751,0.627119150219642,0.0012921734792286461,0.9204360887164316,-,-,-,-
2,0.6628955654689159,0.5097926062715296,0.0007385736883144595,0.9499325502232887,-,-,-,-
3,0.5745840539600147,0.40937474154329667,0.00047473566700385184,0.9518728384596518,-,-,-,-
4,0.8056930315056428,0.7117553196040349,0.0024078132463886885,0.9058959512448675,-,-,-,-
5,0.7975828150269727,0.7228094930135027,0.0007700461272868863,0.9399442368028996,-,-,-,-
6,0.8146681195412491,0.7367729383477415,0.0008721892799746278,0.9304736121317205,-,-,-,-
7,0.8131868248044312,0.7317167896971036,0.0008631019150112746,0.9366025521714296,-,-,-,-
8,0.7327903869251396,0.6140678698837568,0.0010921197237102023,0.9439818131113891,-,-,-,-
9,0.7355108906748198,0.5925437594201187,0.0007467171695721988,0.9401930490275224,-,-,-,-
