Image Pair,Dice full,Dice no background,MSE,SSIM,Time,Mean Dice full, Mean Dice no background,Mean MSE,Mean SSIM,Mean Time,Mean NegJ
139,0.47241280006564723,0.3262762853013284,0.0012203914205888762,0.9252135717022673,0.006468296051025391,-,-,-,-,-,-
140,0.45863051771468666,0.3363806845969368,0.000850270393911768,0.9441383637937063,0.0027937889099121094,-,-,-,-,-,-
141,0.3799269298957931,0.26579014428871517,0.001170224739935087,0.9420783450642468,0.0027992725372314453,-,-,-,-,-,-
142,0.5404916856598866,0.08527131782945736,0.0006324248232176541,0.9612358998639731,0.0027735233306884766,-,-,-,-,-,-
143,0.5154124666486001,0.2530702648203962,0.0005898000269927692,0.9510299030397542,0.0028476715087890625,-,-,-,-,-,-
144,0.5552462167592982,0.4050800572940794,0.0005090120682832366,0.9555447003223495,0.0027458667755126953,-,-,-,-,-,-
145,0.5671973086250609,0.4195337569096157,0.0004405912751647125,0.9611704345648365,0.0027854442596435547,-,-,-,-,-,-
146,0.580425854459289,0.4248953742732626,0.0004528278717612332,0.9623103223916897,0.0075893402099609375,-,-,-,-,-,-
147,0.5639144620085371,0.3914345106540723,0.00042045441325802774,0.9642702976350063,0.0027604103088378906,-,-,-,-,-,-
148,0.5579231424363935,0.39540395497922276,0.0003243320149201255,0.9678121111313635,0.004606485366821289,-,-,-,-,-,-
149,0.5315734997824363,0.35409774183475434,0.00026728703947893895,0.9716436696501005,0.002696990966796875,-,-,-,-,-,-
150,0.49113547625112036,0.2790645223728614,0.000257244098339552,0.9718646463869539,0.0027272701263427734,-,-,-,-,-,-
151,0.3478588216547334,0.12352941176470589,0.000327516953955598,0.9709339130017197,0.0027408599853515625,-,-,-,-,-,-
152,0.36532088104882643,0.05042016806722689,0.000427389915088554,0.9685622633900205,0.0028052330017089844,-,-,-,-,-,-
153,0.5748360977401037,0.3841827937541448,0.0018165918393327509,0.9036753966496461,0.002413511276245117,-,-,-,-,-,-
154,0.579540391040076,0.4490128274272178,0.0028378843225546234,0.865077990807563,0.002516031265258789,-,-,-,-,-,-
155,0.589446810054943,0.4536013411667085,0.0015140786999059616,0.8957166741254019,0.0027413368225097656,-,-,-,-,-,-
156,0.5943748599710675,0.46306744434404007,0.003613609146736007,0.8629451511725151,0.006255388259887695,-,-,-,-,-,-
157,0.5702264951750855,0.4326253275313039,0.0032494493768116064,0.8685153677590655,0.0027310848236083984,-,-,-,-,-,-
158,0.5934643978941689,0.43147845031002385,0.0018392327740882483,0.9128637331060522,0.0027532577514648438,-,-,-,-,-,-
159,0.6174662202816087,0.4421456266235736,0.0014977540711406572,0.8992441320809048,0.002780437469482422,-,-,-,-,-,-
160,0.5926911052041423,0.4019869346599753,0.002089521845954143,0.9005587118910889,0.0027229785919189453,-,-,-,-,-,-
161,0.5255638651228699,0.3256706393285442,0.0017214721602959854,0.9144241932070927,0.0027306079864501953,-,-,-,-,-,-
162,0.5078288582994589,0.32064873663235127,0.0012462070746234659,0.927967613107823,0.0028009414672851562,-,-,-,-,-,-
163,0.5295405365627076,0.3842818759159746,0.0022695931021827257,0.8654606045280689,0.0026471614837646484,-,-,-,-,-,-
164,0.4252589297287153,0.2143873277639145,0.0015780659147994769,0.9283502985027791,0.007659196853637695,-,-,-,-,-,-
165,0.41532029809725884,0.22017183522858372,0.002305707672199828,0.8787983652985388,0.007630825042724609,-,-,-,-,-,-
166,0.24805216107602723,0.0,0.001169604742196474,0.9269012906843154,0.007140398025512695,-,-,-,-,-,-
167,0.23972963813683776,0.0,0.001500692876370177,0.9204370623632601,0.007544040679931641,-,-,-,-,-,-
168,0.4208119949042074,0.027522935779816515,0.002427248982738395,0.8964210146679316,0.017917394638061523,-,-,-,-,-,-
169,0.6547676621446332,0.5271183576919828,0.0005744506127094816,0.9462248896850362,0.003141164779663086,-,-,-,-,-,-
170,0.6220993751788776,0.46749195437663044,0.00044819924549027815,0.9509894623471513,0.0064127445220947266,-,-,-,-,-,-
171,0.6122315547393237,0.47496188476528567,0.0008516387042742167,0.9452681116261381,0.002392292022705078,-,-,-,-,-,-
172,0.6188373122113081,0.4564251331335159,0.0007321735268369854,0.9436178593732916,0.0024454593658447266,-,-,-,-,-,-
173,0.6556352431103,0.5178421304078208,0.00035627027334897383,0.9614696183702776,0.007827281951904297,-,-,-,-,-,-
174,0.6367036657040911,0.4802375380811515,0.0003259311019252998,0.9589982813803007,0.006367683410644531,-,-,-,-,-,-
175,0.6462393192504544,0.5037144060308881,0.00033811319921897955,0.9606546992456452,0.002374410629272461,-,-,-,-,-,-
176,0.6262396434488199,0.46041141348975495,0.0003425982633451983,0.9577115091292177,0.004044532775878906,-,-,-,-,-,-
177,0.6085948116956139,0.45779729785548257,0.0003772686497082303,0.9566919125195836,0.007342338562011719,-,-,-,-,-,-
178,0.573111487632792,0.3983945990203137,0.0005214819794159572,0.9557539508200961,0.0026504993438720703,-,-,-,-,-,-
179,0.5582808660209311,0.41366359818564113,0.00019140981168389804,0.9675114881756982,0.01078343391418457,-,-,-,-,-,-
180,0.5820957313339665,0.4444390812113904,0.0001975722531960908,0.9673691098246457,0.002584695816040039,-,-,-,-,-,-
181,0.5556040566144906,0.43855609903181514,0.00016890176477491497,0.9743555079443114,0.00842428207397461,-,-,-,-,-,-
182,0.5148272509261378,0.3818289395831964,0.00018256862498248108,0.9753158629312224,0.0025396347045898438,-,-,-,-,-,-
183,0.49974959637377103,0.3845795091779729,0.00021053788863831415,0.9736045304842027,0.019779443740844727,-,-,-,-,-,-
184,0.41163242393598143,0.24034591194968552,0.00026666026793339774,0.9691536797772605,0.0024929046630859375,-,-,-,-,-,-
185,0.4199518061811095,0.10052447552447552,0.0063735475153918674,0.7428887711942285,0.0027718544006347656,-,-,-,-,-,-
186,0.5840984778090133,0.48268771225596085,0.005156900669523083,0.7684582825192472,0.0024623870849609375,-,-,-,-,-,-
187,0.6003945875441268,0.48955426266802377,0.0016196075746993377,0.8815622528291196,0.002661466598510742,-,-,-,-,-,-
188,0.558615822809825,0.39445845001602864,0.002596283664224975,0.8608933595319322,0.002394437789916992,-,-,-,-,-,-
189,0.5327624516837617,0.35221819223681555,0.000642587804449689,0.91542528155986,0.002343416213989258,-,-,-,-,-,-
190,0.5010952450020991,0.28305589560432626,0.0007829993890835168,0.9195866929793265,0.0023643970489501953,-,-,-,-,-,-
191,0.43703891958230345,0.19632465854532113,0.00023006949621021225,0.9496270105578193,0.0023441314697265625,-,-,-,-,-,-
192,0.4317946297781794,0.2315213436817851,0.0002339856491426186,0.9548046914565288,0.0023224353790283203,-,-,-,-,-,-
193,0.8258692880065197,0.7488264466343173,0.0016458106704759284,0.8963264745168277,0.0024144649505615234,-,-,-,-,-,-
194,0.8451139042881157,0.7823821064691892,0.0004130639865627117,0.9391968706809162,0.0023658275604248047,-,-,-,-,-,-
195,0.8443637935975341,0.7773010473582945,0.0005481073625860325,0.9353216695341547,0.0023469924926757812,-,-,-,-,-,-
196,0.8736296200332115,0.8162398735269216,0.0005123953130749681,0.9394097061564525,0.002366304397583008,-,-,-,-,-,-
197,0.7653968666096304,0.6400004343138608,0.0006392092596521482,0.9373319831525153,0.002328634262084961,-,-,-,-,-,-
198,0.8284326656637976,0.7411904228077835,0.00040530703217637147,0.9415761976661117,0.002407550811767578,-,-,-,-,-,-
199,0.6306859462002041,0.4093299494051412,0.0028419068193657987,0.8784170050749109,0.0023491382598876953,-,-,-,-,-,-
200,0.7831948405060101,0.6512128495952414,0.0013907519389305919,0.8479742110357601,0.002345561981201172,-,-,-,-,-,-
201,0.8051868347512168,0.6887617024197948,0.001024968204230609,0.86803579019399,0.006341457366943359,-,-,-,-,-,-
202,0.8089696938519024,0.697907714169824,0.0008206565563525582,0.8890785511742922,0.0024378299713134766,-,-,-,-,-,-
203,0.80796303915404,0.6928122466524873,0.0008144232332036758,0.8921273668129086,0.003657102584838867,-,-,-,-,-,-
204,0.8327909736087677,0.7277654903160892,0.0008020459900773861,0.8993133620821294,0.002465486526489258,-,-,-,-,-,-
205,0.8167496480864608,0.6996910856134158,0.0007435418886912406,0.9055642122320476,0.0024209022521972656,-,-,-,-,-,-
206,0.8213601261719293,0.708255269320843,0.0007080298502514637,0.9100650988382509,0.002404928207397461,-,-,-,-,-,-
207,0.8294035594652389,0.7238340891548697,0.0005999192515507871,0.914163658619468,0.0024614334106445312,-,-,-,-,-,-
208,0.8476503262212173,0.7615903651550525,0.000504461747500871,0.9185203622959199,0.00244903564453125,-,-,-,-,-,-
209,0.8519955237619573,0.7699537304800462,0.00046922826264885934,0.9214012641591686,0.0024018287658691406,-,-,-,-,-,-
210,0.8297933442041365,0.7280986394366672,0.0005397224366462632,0.9127392623685655,0.002351522445678711,-,-,-,-,-,-
211,0.815126912097038,0.7240381733938821,0.0005083487736713485,0.9201724106635366,0.0033576488494873047,-,-,-,-,-,-
212,0.8159831679371773,0.7302305150398833,0.00043923652834262016,0.9292907960086484,0.012067317962646484,-,-,-,-,-,-
213,0.7633987731535365,0.6362089529633381,0.00045967676223383796,0.929378754061833,0.004796266555786133,-,-,-,-,-,-
214,0.7526322067489566,0.6435643564356436,0.0003210691738353482,0.9405035044707003,0.005999326705932617,-,-,-,-,-,-
215,0.7246532849567476,0.6466533647741701,0.0003520106375997801,0.9364689125902064,0.004621744155883789,-,-,-,-,-,-
216,0.45411635694453767,0.12556053811659193,0.0012701644919133974,0.850996744691616,0.0026319026947021484,-,-,-,-,-,-
217,0.6290384579585929,0.5239267949372199,0.001224304695717813,0.8514034581848154,0.00902867317199707,-,-,-,-,-,-
218,0.6539081468344851,0.5818638058143332,0.0009198978130993476,0.8650969971269191,0.002599477767944336,-,-,-,-,-,-
219,0.6617960582093281,0.6057841235413864,0.0009948684289736052,0.8551774952705262,0.009093999862670898,-,-,-,-,-,-
220,0.6194569274502401,0.5303725092607852,0.004373197519722947,0.7844414842623375,0.0024480819702148438,-,-,-,-,-,-
221,0.5508864740170132,0.4640306709135986,0.0009111365686223288,0.8624497149069039,0.0023927688598632812,-,-,-,-,-,-
222,0.4931755000011511,0.40701357967258145,0.0010572573320397451,0.8596607776692846,0.0023469924926757812,-,-,-,-,-,-
223,0.49828515433610976,0.0,0.000812446931978054,0.8794568154514609,0.0022988319396972656,-,-,-,-,-,-
-,-,-,-,-,-,0.5901726049203678,0.43033420938985517,0.001013201513957155,0.9149322452620405,0.00451545523745673,0.3688412620907738
