Image Pair,Dice,SSIM,MSE,Mean SSIM,Mean MSE,Mean Time,Mean NegJ
225,0.0035015741407521026,0.7160165918143158,0.021891117095947266,-,-,-,-
226,0.003456471785287777,0.7353288482675112,0.024473190307617188,-,-,-,-
227,0.0023413131628483206,0.7896871447141401,0.018921613693237305,-,-,-,-
228,0.0037143954288411623,0.7287319264480882,0.03273630142211914,-,-,-,-
229,0.00455709374225138,0.7065438373948185,0.020332813262939453,-,-,-,-
230,0.002672250103570839,0.7619095528149499,0.024749755859375,-,-,-,-
231,0.0028960873122820512,0.7480913953008228,0.019577741622924805,-,-,-,-
232,0.0022832941055243696,0.7508128236379343,0.02583765983581543,-,-,-,-
233,0.0022320472806697466,0.7563774971153095,0.021190881729125977,-,-,-,-
234,0.002653846695504332,0.7377093611921968,0.018576383590698242,-,-,-,-
235,0.002575900416047894,0.7425138223650188,0.022151708602905273,-,-,-,-
236,0.0028784168364628234,0.7573860781526704,0.01824951171875,-,-,-,-
237,0.002744913477990233,0.7589098183986152,0.022904634475708008,-,-,-,-
238,0.0023857266845717243,0.7457457858657742,0.018902301788330078,-,-,-,-
239,0.0021963213600087648,0.766303337539092,0.022890806198120117,-,-,-,-
240,0.0027621229133172184,0.7430250061342354,0.029065847396850586,-,-,-,-
241,0.0023726988234882285,0.7633748819277238,0.018895387649536133,-,-,-,-
242,0.002968618501843364,0.7430509573810387,0.017081260681152344,-,-,-,-
243,0.0031221131955883647,0.7410902137813032,0.02181077003479004,-,-,-,-
244,0.003112910997510809,0.7320986155213712,0.022881031036376953,-,-,-,-
245,0.0029771473923303777,0.7567548655471908,0.020569562911987305,-,-,-,-
246,0.00249944146406218,0.7679698907830516,0.019455671310424805,-,-,-,-
247,0.003338369663718114,0.7258035557061235,0.028573036193847656,-,-,-,-
248,0.0028041580188968257,0.7514478404990814,0.030226945877075195,-,-,-,-
249,0.002109498762657876,0.7890162139907161,0.021239519119262695,-,-,-,-
250,0.002110040942929044,0.7781350098873725,0.019562959671020508,-,-,-,-
251,0.0019757656357999903,0.7781927896449182,0.03154897689819336,-,-,-,-
252,0.0022436228544475984,0.759213843894848,0.021156787872314453,-,-,-,-
253,0.0025381360196125393,0.7362110374760803,0.024804115295410156,-,-,-,-
254,0.0033144605965234795,0.7413230949182134,0.019335031509399414,-,-,-,-
255,0.002968541908384026,0.7623929577145228,0.021362781524658203,-,-,-,-
256,0.0032302927199201765,0.7267984372150329,0.02283787727355957,-,-,-,-
257,0.0028288860782894904,0.7375754267769197,0.02123284339904785,-,-,-,-
258,0.0027712640182034082,0.7453282319725157,0.02057027816772461,-,-,-,-
259,0.002229669909159604,0.7662431664865114,0.023843050003051758,-,-,-,-
260,0.00257449273508706,0.7584041120634872,0.0204470157623291,-,-,-,-
261,0.002669081245821007,0.7448885822186407,0.024070262908935547,-,-,-,-
262,0.0031977656836831513,0.7429945829548631,0.017335891723632812,-,-,-,-
263,0.0028812467499153152,0.7530034777187496,0.022664785385131836,-,-,-,-
264,0.002367705260237566,0.7720116732380201,0.02320718765258789,-,-,-,-
265,0.0022285255044216966,0.752720682426029,0.0180051326751709,-,-,-,-
266,0.0023178576373686847,0.7504314051231222,0.020076513290405273,-,-,-,-
267,0.0025942292304114525,0.7655392032959192,0.026963472366333008,-,-,-,-
268,0.002163685649760379,0.7736334723943453,0.02570509910583496,-,-,-,-
