Image Pair,Dice,SSIM,MSE,Mean Dice,Mean SSIM,Mean MSE,Mean Time,Mean NegJ
120,0.5665551070368178,0.002984673022969453,0.7429730654404277,-,-,-,-,-
121,0.6117169426686654,0.0025712958421587827,0.765679285226108,-,-,-,-,-
122,0.6218796809837277,0.0024708191622790326,0.7520532476376026,-,-,-,-,-
123,0.6512950655583346,0.0023757885993395196,0.7608126199449851,-,-,-,-,-
124,0.6001287355848975,0.0022398412628462576,0.7568589799559957,-,-,-,-,-
125,0.6007357451168025,0.002217609716666047,0.7563604004843416,-,-,-,-,-
126,0.6489364436625561,0.0019460775267202616,0.7722263029894032,-,-,-,-,-
127,0.5741786952794159,0.0021033462735783695,0.7802856955858738,-,-,-,-,-
128,0.6362113589997369,0.0025739014960993955,0.763648576044231,-,-,-,-,-
129,0.6405304747187025,0.002775574755492194,0.764806948397699,-,-,-,-,-
130,0.6087389382385398,0.0027775056028430593,0.7470542773812007,-,-,-,-,-
131,0.7151587211702889,0.0021389325540018453,0.7626962538189515,-,-,-,-,-
132,0.5914348136397705,0.0021052731262969954,0.7738369209678445,-,-,-,-,-
133,0.6138969561490949,0.002375598360024907,0.7620171560631064,-,-,-,-,-
134,0.6466714217308905,0.002146934281724633,0.7827424290445044,-,-,-,-,-
135,0.6358658654271109,0.002342901590668648,0.7628884507948518,-,-,-,-,-
136,0.7018129437641197,0.0021122621058453934,0.7873561589401278,-,-,-,-,-
137,0.7171682167681593,0.002434313271700243,0.7584123988642569,-,-,-,-,-
138,0.6773313199867719,0.0025367733778542956,0.7299619635811594,-,-,-,-,-
139,0.7122935064728534,0.0018636998649263603,0.7704362732986191,-,-,-,-,-
140,0.573554964070815,0.002034142626610939,0.7574086265269276,-,-,-,-,-
141,0.6748735964309356,0.001908173454982472,0.7715715852488021,-,-,-,-,-
142,0.6886751295182907,0.0016938553173544571,0.7836973610753402,-,-,-,-,-
143,0.6424244826489425,0.002275547202216484,0.7680849673415767,-,-,-,-,-
144,0.6252646037080835,0.0029089754980401966,0.7588564604579284,-,-,-,-,-
145,0.6633509167387606,0.002870459158564209,0.7589638196001989,-,-,-,-,-
146,0.5711396014183276,0.00333144873165363,0.7067866783777473,-,-,-,-,-
147,0.5186617153699664,0.004345251096037413,0.68802342955783,-,-,-,-,-
148,0.4853655320028715,0.004209104997369373,0.7105279242287934,-,-,-,-,-
149,0.5639540438261563,0.0025640240106396205,0.7568708206009901,-,-,-,-,-
150,0.5839593907008194,0.003257087775408903,0.721602068934145,-,-,-,-,-
151,0.5826076951701913,0.0037445976086818433,0.674559729809743,-,-,-,-,-
152,0.6842642669370596,0.0019443809622231357,0.7794233363327302,-,-,-,-,-
153,0.6989417836216397,0.001978663151550286,0.7752811548378655,-,-,-,-,-
154,0.6802677436910712,0.0022805752954784706,0.7638185588921587,-,-,-,-,-
155,0.6896103648460867,0.0022077987979475465,0.7590300252419389,-,-,-,-,-
156,0.6393620271610091,0.002356713890326745,0.7614382730788093,-,-,-,-,-
157,0.6567762148599963,0.0017328742562413642,0.7933280887804095,-,-,-,-,-
158,0.6415632851754409,0.002267642082180643,0.7339448437297266,-,-,-,-,-
159,0.6575197023018929,0.002690853238574557,0.7386526476042482,-,-,-,-,-
160,0.7910598719420295,0.002136116156757654,0.7662168763334446,-,-,-,-,-
161,0.700428642350202,0.002760331230876941,0.7483916458382123,-,-,-,-,-
162,0.725868773358451,0.002505692047525206,0.7499597367559138,-,-,-,-,-
163,0.6983320564422615,0.001747128606255899,0.8020831972514669,-,-,-,-,-
164,0.716531541229049,0.0019664518158389655,0.7705420287556559,-,-,-,-,-
165,0.6909916602769907,0.0028253738182228835,0.7340650701910518,-,-,-,-,-
166,0.6044189373953583,0.0030889072976533426,0.7431005926147122,-,-,-,-,-
167,0.6421456866119356,0.0028502140361608736,0.7576197574601863,-,-,-,-,-
168,0.6121719982350432,0.002868146340215224,0.7509170838692588,-,-,-,-,-
169,0.534112353013982,0.002772526061994718,0.7438304827540837,-,-,-,-,-
170,0.5432745470017182,0.0027508421724131557,0.7428336274561022,-,-,-,-,-
171,0.6323207374141314,0.0028501874500521515,0.7138888814983915,-,-,-,-,-
172,0.5417437998365613,0.002838475762347651,0.7610738977386307,-,-,-,-,-
173,0.5467083447147183,0.0028868700938629627,0.7457356476710352,-,-,-,-,-
174,0.6596173047544387,0.0021841875836840904,0.771277493414977,-,-,-,-,-
175,0.7231622892859754,0.0023371791433340525,0.7676268878451856,-,-,-,-,-
176,0.6713770514217196,0.002108229721201423,0.7649894303764748,-,-,-,-,-
177,0.6995536684047016,0.002300331825521873,0.7450760608933658,-,-,-,-,-
178,0.6241298341348691,0.0018481759657888118,0.7870471813404989,-,-,-,-,-
179,0.6564898681631547,0.0015822085483115109,0.8005566821581975,-,-,-,-,-
180,0.6689699064563092,0.002049986885771382,0.7629109773976476,-,-,-,-,-
181,0.5205540629384453,0.0031327976760085956,0.7359127488115393,-,-,-,-,-
182,0.6207274330869855,0.0025910183260002386,0.7684504639662632,-,-,-,-,-
183,0.5387598801742998,0.002805599245274711,0.7387360968634172,-,-,-,-,-
184,0.6130677747823521,0.002484348608492818,0.7450911221178955,-,-,-,-,-
